X_(Angstroms),Y_(Angstroms)
124.671789,99.570431
17.379876,93.148588
0.494321,66.143158
74.847697,58.696724
10.590718,21.631475
61.354674,63.400377
127.276522,104.297179
14.393313,38.214481
109.111442,127.590293
77.570420,131.248786
29.827553,5.462703
97.335503,89.442450
53.394075,54.989455
0.003421,62.377947
0.020991,96.762924
25.896923,64.501948
17.915802,6.308961
67.579726,97.996009
95.678758,39.930544
36.222609,63.098342
48.603186,48.623576
82.794673,136.578721
59.950204,118.142472
94.121199,20.641676
67.668990,110.606664
123.550927,43.989386
120.213864,53.322295
29.341802,115.926786
140.544986,0.805430
15.149560,101.796098
110.999165,124.340923
116.091782,86.566917
56.829824,49.528547
44.489427,112.322673
90.976407,76.209358
79.471386,2.489062
112.967783,121.011517
65.423687,52.494755
50.720218,88.300696
29.386977,14.979245
42.572926,115.572177
56.905794,36.215025
37.158866,49.326993
14.188324,5.286158
5.092034,9.501422
86.339466,95.741350
38.504633,52.980468
109.361749,28.124159
112.216561,126.848854
56.675481,8.290839
6.988961,21.317479
108.414464,100.569757
54.152197,109.211176
96.709046,85.656821
2.705931,59.540420
109.161323,96.832886
67.385165,134.081117
4.811716,18.169055
14.593633,128.849767
119.512444,30.436447
37.638080,21.079300
137.908093,64.388613
52.509457,101.206542
28.287785,23.689869
64.112380,73.740296
124.130811,59.453778
139.503202,93.092859
92.681853,79.547761
75.103853,72.351455
71.166215,120.258118
135.062327,126.258650
62.077667,67.135425
125.930903,38.937588
134.381085,63.079247
83.052390,112.598933
98.280460,68.537852
131.267732,50.382121
60.085551,19.596584
44.639215,10.403428
72.338653,84.739764
123.198278,55.742702
40.580342,23.468191
104.532621,12.971752
20.741467,22.630853
127.899749,73.077445
24.485173,23.265598
96.286107,71.720264
138.613066,135.588272
0.806610,38.185845
112.615407,23.997593
2.487675,34.613709
126.104575,0.547243
130.072491,106.638045
102.094930,68.895742
139.506539,41.376250
88.141028,112.631301
74.759944,14.456669
59.099115,69.562124
67.808284,130.308198
91.880587,132.264839
56.999005,53.653979
4.844091,140.338558
131.150510,102.938576
30.654978,33.475628
12.140789,115.473402
15.092190,1.557532
65.776447,101.461394
91.302370,136.168527
75.283402,109.416603
136.565681,91.534270
6.455059,2.864137
56.109438,14.968686
2.308782,100.120218
48.034552,75.637431
53.769646,64.559004
80.625744,115.345700
89.498304,72.679258
14.426057,90.619818
44.518989,38.506390
105.947210,68.750515
89.531964,123.598550
24.940634,14.785774
28.248316,70.738702
24.725687,56.744690
108.657946,34.442309
58.327850,11.783118
65.255307,137.118751
132.761073,46.023269
