promedio_temporal,energia_en_cada_paso
-0.014830,-0.015896
-0.014834,-0.016272
-0.014836,-0.015620
-0.014839,-0.016047
-0.014842,-0.015829
-0.014846,-0.016359
-0.014849,-0.015947
-0.014853,-0.016153
-0.014856,-0.016082
-0.014860,-0.016231
-0.014864,-0.016571
-0.014869,-0.016646
-0.014873,-0.016495
-0.014877,-0.016245
-0.014882,-0.016635
-0.014886,-0.016423
-0.014890,-0.016377
-0.014894,-0.016401
-0.014897,-0.015931
-0.014899,-0.016014
-0.014903,-0.016090
-0.014906,-0.016252
-0.014909,-0.015970
-0.014912,-0.016000
-0.014915,-0.016067
-0.014919,-0.016477
-0.014922,-0.016221
-0.014926,-0.016389
-0.014928,-0.015877
-0.014931,-0.016057
-0.014935,-0.016284
-0.014937,-0.015853
-0.014940,-0.016121
-0.014944,-0.016519
-0.014948,-0.016476
-0.014952,-0.016454
-0.014955,-0.016282
-0.014957,-0.015880
-0.014960,-0.015965
-0.014962,-0.015784
-0.014966,-0.016361
-0.014970,-0.016579
-0.014972,-0.015962
-0.014975,-0.016151
-0.014978,-0.016203
-0.014980,-0.015910
-0.014983,-0.016259
-0.014985,-0.015755
-0.014988,-0.016223
-0.014991,-0.015920
-0.014993,-0.016161
-0.014996,-0.016164
-0.014998,-0.015876
-0.015001,-0.016040
-0.015004,-0.016298
-0.015006,-0.015929
-0.015008,-0.015772
-0.015011,-0.016237
-0.015014,-0.016322
-0.015018,-0.016575
-0.015021,-0.016488
-0.015025,-0.016421
-0.015028,-0.016262
-0.015031,-0.016365
-0.015035,-0.016693
-0.015037,-0.015837
-0.015040,-0.016418
-0.015043,-0.016477
-0.015046,-0.016420
-0.015049,-0.016041
-0.015051,-0.016095
-0.015054,-0.016448
-0.015058,-0.016584
-0.015061,-0.016383
-0.015064,-0.016370
-0.015067,-0.016583
-0.015070,-0.016242
-0.015073,-0.016119
-0.015075,-0.016321
-0.015078,-0.016372
-0.015081,-0.016048
-0.015082,-0.015899
-0.015085,-0.016291
-0.015087,-0.015977
-0.015088,-0.015695
-0.015092,-0.016474
-0.015093,-0.015716
-0.015094,-0.015718
-0.015096,-0.015793
-0.015097,-0.015766
-0.015100,-0.016384
-0.015103,-0.016202
-0.015105,-0.015966
-0.015107,-0.016200
-0.015109,-0.015868
-0.015112,-0.016484
-0.015114,-0.015997
-0.015116,-0.016263
-0.015118,-0.016169
-0.015120,-0.015995
-0.015123,-0.016401
-0.015127,-0.016906
-0.015131,-0.017016
-0.015134,-0.016647
-0.015136,-0.015705
-0.015137,-0.015690
-0.015140,-0.016687
-0.015143,-0.016721
-0.015146,-0.016144
-0.015149,-0.016775
-0.015151,-0.015948
-0.015154,-0.016591
-0.015156,-0.016250
-0.015159,-0.016391
-0.015162,-0.016665
-0.015165,-0.016561
-0.015168,-0.016638
-0.015171,-0.016750
-0.015174,-0.016568
-0.015177,-0.016552
-0.015179,-0.016020
-0.015181,-0.016357
-0.015184,-0.016354
-0.015187,-0.016583
-0.015189,-0.016622
-0.015193,-0.016848
-0.015196,-0.016799
-0.015200,-0.016844
-0.015202,-0.016263
-0.015204,-0.016151
-0.015207,-0.016743
-0.015211,-0.017089
-0.015213,-0.016138
-0.015215,-0.016518
-0.015218,-0.016693
-0.015221,-0.016440
-0.015224,-0.016791
-0.015226,-0.016328
-0.015229,-0.016503
-0.015232,-0.016991
-0.015234,-0.016028
-0.015236,-0.016613
-0.015238,-0.016244
-0.015241,-0.016535
-0.015243,-0.016491
-0.015245,-0.016039
-0.015248,-0.016895
-0.015252,-0.017005
-0.015254,-0.016243
-0.015256,-0.016291
-0.015257,-0.016095
-0.015258,-0.015822
-0.015261,-0.016362
-0.015263,-0.016457
-0.015265,-0.016449
-0.015268,-0.016556
-0.015270,-0.016327
-0.015272,-0.016287
-0.015274,-0.016479
-0.015276,-0.016476
-0.015279,-0.016367
-0.015280,-0.016155
-0.015282,-0.016263
-0.015284,-0.016185
-0.015285,-0.016037
-0.015287,-0.016081
-0.015289,-0.016234
-0.015290,-0.016228
-0.015291,-0.015840
-0.015293,-0.016153
-0.015295,-0.016131
-0.015296,-0.015889
-0.015296,-0.015701
-0.015298,-0.015939
-0.015299,-0.015813
-0.015300,-0.016316
-0.015302,-0.016130
-0.015303,-0.015833
-0.015304,-0.015973
-0.015307,-0.016977
-0.015309,-0.016212
-0.015311,-0.016240
-0.015312,-0.016208
-0.015314,-0.016116
-0.015316,-0.016437
-0.015318,-0.016363
-0.015320,-0.016543
-0.015322,-0.016543
-0.015325,-0.016531
-0.015327,-0.016583
-0.015328,-0.016183
-0.015330,-0.016241
-0.015332,-0.016294
-0.015333,-0.016083
-0.015335,-0.016375
-0.015337,-0.016478
-0.015339,-0.016338
-0.015341,-0.016791
-0.015343,-0.016352
-0.015345,-0.016425
-0.015346,-0.016017
-0.015349,-0.016695
-0.015351,-0.016714
-0.015353,-0.016436
-0.015356,-0.016870
-0.015358,-0.016537
-0.015360,-0.016391
-0.015361,-0.016288
-0.015363,-0.016546
-0.015365,-0.016352
-0.015367,-0.016411
-0.015368,-0.016193
-0.015370,-0.016430
-0.015372,-0.016297
-0.015373,-0.015823
-0.015374,-0.016307
-0.015376,-0.016521
-0.015377,-0.016009
-0.015380,-0.016620
-0.015381,-0.015925
-0.015383,-0.016601
-0.015384,-0.016416
-0.015386,-0.016271
-0.015386,-0.015719
-0.015388,-0.016166
-0.015389,-0.016069
-0.015390,-0.015886
-0.015392,-0.016416
-0.015393,-0.016224
-0.015394,-0.015763
-0.015394,-0.015467
-0.015394,-0.015465
-0.015395,-0.015855
-0.015396,-0.016346
-0.015398,-0.016725
-0.015400,-0.016044
-0.015401,-0.016269
-0.015403,-0.016455
-0.015404,-0.016263
-0.015405,-0.015877
-0.015406,-0.016153
-0.015408,-0.016371
-0.015409,-0.016355
-0.015410,-0.015937
-0.015411,-0.016071
-0.015413,-0.016377
-0.015415,-0.016445
-0.015416,-0.016045
-0.015417,-0.016266
-0.015418,-0.015982
-0.015418,-0.015422
-0.015420,-0.016455
-0.015421,-0.016058
-0.015422,-0.016138
-0.015423,-0.016157
-0.015424,-0.015715
-0.015424,-0.015666
-0.015425,-0.015783
-0.015426,-0.016221
-0.015427,-0.016304
-0.015429,-0.016305
-0.015430,-0.016276
-0.015431,-0.016260
-0.015432,-0.016030
-0.015433,-0.015913
-0.015434,-0.015967
-0.015435,-0.015930
-0.015436,-0.016033
-0.015438,-0.016584
-0.015439,-0.016641
-0.015441,-0.016690
-0.015444,-0.016800
-0.015445,-0.016235
-0.015446,-0.016414
-0.015447,-0.016134
-0.015449,-0.016383
-0.015450,-0.016227
-0.015451,-0.016281
-0.015453,-0.016651
-0.015455,-0.016335
-0.015457,-0.016813
-0.015459,-0.016851
-0.015460,-0.016357
-0.015461,-0.016080
-0.015463,-0.016208
-0.015464,-0.016304
-0.015466,-0.016588
-0.015467,-0.016437
-0.015469,-0.016882
-0.015472,-0.016991
-0.015473,-0.016444
-0.015475,-0.016788
-0.015476,-0.016379
-0.015479,-0.016830
-0.015480,-0.016637
-0.015483,-0.016952
-0.015484,-0.016666
-0.015485,-0.016215
-0.015487,-0.016527
-0.015489,-0.016568
-0.015490,-0.016306
-0.015491,-0.016001
-0.015492,-0.016561
-0.015494,-0.016461
-0.015494,-0.015927
-0.015495,-0.015934
-0.015496,-0.016213
-0.015497,-0.015915
-0.015498,-0.016314
-0.015498,-0.015767
-0.015499,-0.016176
-0.015501,-0.016283
-0.015502,-0.016379
-0.015503,-0.016303
-0.015504,-0.015900
-0.015505,-0.016412
-0.015506,-0.016150
-0.015507,-0.016149
