X_(Angstroms),Y_(Angstroms),rho/rho_uniforme
-18.613861,6.732673,3.491687
-18.613861,7.128713,5.913125
-18.613861,7.524752,6.069840
-18.613861,7.920792,1.919440
-18.613861,8.316832,0.000000
-18.613861,8.712871,0.000000
-18.613861,9.108911,0.000000
-18.613861,9.504950,0.000000
-18.613861,9.900990,0.000000
-18.613861,10.297030,0.000000
-18.613861,10.693069,0.000000
-18.613861,11.089109,0.000000
-18.613861,11.485149,0.000000
-18.613861,11.881188,0.000000
-18.613861,12.277228,0.000000
-18.613861,12.673267,0.000000
-18.613861,13.069307,0.000000
-18.613861,13.465347,0.000000
-18.613861,13.861386,0.000000
-18.613861,14.257426,0.000000
-18.613861,14.653465,0.000000
-18.613861,15.049505,0.000000
-18.613861,15.445545,0.000000
-18.613861,15.841584,0.000000
-18.613861,16.237624,0.000000
-18.613861,16.633663,0.000000
-18.613861,17.029703,0.000000
-18.613861,17.425743,0.000000
-18.613861,17.821782,0.000000
-18.613861,18.217822,0.000000
-18.613861,18.613861,0.000000
-18.613861,19.009901,0.000000
-18.613861,19.405941,0.000000
-18.613861,19.801980,0.000000
-18.217822,-19.801980,0.000000
-18.217822,-19.405941,0.000000
-18.217822,-19.009901,0.000000
-18.217822,-18.613861,0.000000
-18.217822,-18.217822,0.000000
-18.217822,-17.821782,0.000000
-18.217822,-17.425743,0.000000
-18.217822,-17.029703,0.000000
-18.217822,-16.633663,0.000000
-18.217822,-16.237624,0.000000
-18.217822,-15.841584,0.000000
-18.217822,-15.445545,0.000000
-18.217822,-15.049505,0.000000
-18.217822,-14.653465,0.000000
-18.217822,-14.257426,0.000000
-18.217822,-13.861386,0.000000
-18.217822,-13.465347,0.000000
-18.217822,-13.069307,0.000000
-18.217822,-12.673267,0.000000
-18.217822,-12.277228,0.000000
-18.217822,-11.881188,0.000000
-18.217822,-11.485149,0.000000
-18.217822,-11.089109,0.000000
-18.217822,-10.693069,0.000000
-18.217822,-10.297030,0.000000
-18.217822,-9.900990,0.000000
-18.217822,-9.504950,0.000000
-18.217822,-9.108911,0.019749
-18.217822,-8.712871,0.017200
-18.217822,-8.316832,0.021660
-18.217822,-7.920792,0.000637
-18.217822,-7.524752,0.000000
-18.217822,-7.128713,0.000000
-18.217822,-6.732673,0.000000
-18.217822,-6.336634,0.000000
-18.217822,-5.940594,0.000000
-18.217822,-5.544554,0.012104
-18.217822,-5.148515,0.421729
-18.217822,-4.752475,1.498348
-18.217822,-4.356436,1.946834
-18.217822,-3.960396,6.581393
-18.217822,-3.564356,2.915154
-18.217822,-3.168317,0.152893
-18.217822,-2.772277,0.019112
-18.217822,-2.376238,0.003822
-18.217822,-1.980198,0.001911
-18.217822,-1.584158,0.000000
-18.217822,-1.188119,0.000000
-18.217822,-0.792079,0.000000
-18.217822,-0.396040,0.000000
-18.217822,0.000000,0.003185
-18.217822,0.396040,0.222969
-18.217822,0.792079,3.776449
-18.217822,1.188119,6.784613
-18.217822,1.584158,7.902641
-18.217822,1.980198,11.364386
-18.217822,2.376238,2.096541
-18.217822,2.772277,0.026756
-18.217822,3.168317,0.001911
-18.217822,3.564356,0.000637
-18.217822,3.960396,0.000000
-18.217822,4.356436,0.000000
-18.217822,4.752475,0.000000
-18.217822,5.148515,0.000000
-18.217822,5.544554,0.000637
-18.217822,5.940594,0.005733
-18.217822,6.336634,0.521746
-18.217822,6.732673,2.689000
-18.217822,7.128713,2.371111
-18.217822,7.524752,4.266980
-18.217822,7.920792,3.924246
-18.217822,8.316832,0.170093
-18.217822,8.712871,0.000000
-18.217822,9.108911,0.000000
-18.217822,9.504950,0.000000
-18.217822,9.900990,0.000000
-18.217822,10.297030,0.000000
-18.217822,10.693069,0.000000
-18.217822,11.089109,0.000000
-18.217822,11.485149,0.000000
-18.217822,11.881188,0.000000
-18.217822,12.277228,0.000000
-18.217822,12.673267,0.000000
-18.217822,13.069307,0.000000
-18.217822,13.465347,0.000000
-18.217822,13.861386,0.000000
-18.217822,14.257426,0.000000
-18.217822,14.653465,0.000000
-18.217822,15.049505,0.000000
-18.217822,15.445545,0.000000
-18.217822,15.841584,0.000000
-18.217822,16.237624,0.000000
-18.217822,16.633663,0.000000
-18.217822,17.029703,0.000000
-18.217822,17.425743,0.000000
-18.217822,17.821782,0.000000
-18.217822,18.217822,0.000000
-18.217822,18.613861,0.000000
-18.217822,19.009901,0.000000
-18.217822,19.405941,0.000000
-18.217822,19.801980,0.000000
-17.821782,-19.801980,0.000000
-17.821782,-19.405941,0.000000
-17.821782,-19.009901,0.000000
-17.821782,-18.613861,0.000000
-17.821782,-18.217822,0.000000
-17.821782,-17.821782,0.000000
-17.821782,-17.425743,0.000000
-17.821782,-17.029703,0.000000
-17.821782,-16.633663,0.000000
-17.821782,-16.237624,0.000000
-17.821782,-15.841584,0.000000
-17.821782,-15.445545,0.000000
-17.821782,-15.049505,0.000000
-17.821782,-14.653465,0.000000
-17.821782,-14.257426,0.000000
-17.821782,-13.861386,0.000000
-17.821782,-13.465347,0.000000
-17.821782,-13.069307,0.000000
-17.821782,-12.673267,0.000000
-17.821782,-12.277228,0.000000
-17.821782,-11.881188,0.000000
-17.821782,-11.485149,0.000000
-17.821782,-11.089109,0.000000
-17.821782,-10.693069,0.000000
-17.821782,-10.297030,0.000000
-17.821782,-9.900990,1.574795
-17.821782,-9.504950,1.860194
-17.821782,-9.108911,0.094284
-17.821782,-8.712871,0.000000
-17.821782,-8.316832,0.000000
-17.821782,-7.920792,0.000000
-17.821782,-7.524752,0.000000
-17.821782,-7.128713,0.000000
-17.821782,-6.732673,0.000000
-17.821782,-6.336634,0.001911
-17.821782,-5.940594,0.002548
-17.821782,-5.544554,0.198760
-17.821782,-5.148515,3.956735
-17.821782,-4.752475,7.979724
-17.821782,-4.356436,6.490932
-17.821782,-3.960396,8.570272
-17.821782,-3.564356,1.958938
-17.821782,-3.168317,0.015289
-17.821782,-2.772277,0.000000
-17.821782,-2.376238,0.000000
-17.821782,-1.980198,0.000000
-17.821782,-1.584158,0.000000
-17.821782,-1.188119,0.000000
-17.821782,-0.792079,0.002548
-17.821782,-0.396040,0.004459
-17.821782,0.000000,0.019749
-17.821782,0.396040,0.499449
-17.821782,0.792079,3.183353
